epoch,set,metric,value
1,train,accuracy,0.9795918367346939
1,train,dice,0.9793022511469114
1,validation,accuracy,0.9682539682539683
1,validation,dice,0.966988727858293
1,test,accuracy,0.9333333333333333
1,test,dice,0.9341747391952309
2,train,accuracy,0.8979591836734694
2,train,dice,0.8913165266106443
2,validation,accuracy,0.8412698412698413
2,validation,dice,0.8370893318567737
2,test,accuracy,0.7888888888888889
2,test,dice,0.785563103210162
3,train,accuracy,0.8979591836734694
3,train,dice,0.8913165266106443
3,validation,accuracy,0.8095238095238095
3,validation,dice,0.8011369509043927
3,test,accuracy,0.7888888888888889
3,test,dice,0.7762270023359097
4,train,accuracy,0.9115646258503401
4,train,dice,0.9047744397769947
4,validation,accuracy,0.8571428571428571
4,validation,dice,0.8489072923855533
4,test,accuracy,0.8111111111111111
4,test,dice,0.8025897741394109
5,train,accuracy,0.9115646258503401
5,train,dice,0.9056186889505932
5,validation,accuracy,0.9365079365079365
5,validation,dice,0.9368430623749773
5,test,accuracy,0.8777777777777778
5,test,dice,0.8746202423621777
6,train,accuracy,0.9591836734693877
6,train,dice,0.9581699346405229
6,validation,accuracy,0.9682539682539683
6,validation,dice,0.966988727858293
6,test,accuracy,0.9555555555555556
6,test,dice,0.9558957535994167
7,train,accuracy,0.9727891156462585
7,train,dice,0.9723059262447983
7,validation,accuracy,0.9682539682539683
7,validation,dice,0.966988727858293
7,test,accuracy,0.9666666666666667
7,test,dice,0.9669830137392966
8,train,accuracy,0.9659863945578231
8,train,dice,0.9647831546411668
8,validation,accuracy,0.9841269841269841
8,validation,dice,0.9837010534684953
8,test,accuracy,0.9444444444444444
8,test,dice,0.9446173319749311
9,train,accuracy,0.9727891156462585
9,train,dice,0.9719022807258101
9,validation,accuracy,0.9841269841269841
9,validation,dice,0.9837010534684953
9,test,accuracy,0.9444444444444444
9,test,dice,0.9446173319749311
10,train,accuracy,0.9795918367346939
10,train,dice,0.9793463217289471
10,validation,accuracy,0.9682539682539683
10,validation,dice,0.966988727858293
10,test,accuracy,0.9888888888888889
10,test,dice,0.9889642695612845
11,train,accuracy,0.9863945578231292
11,train,dice,0.9862176754759875
11,validation,accuracy,0.9841269841269841
11,validation,dice,0.9835835835835836
11,test,accuracy,0.9888888888888889
11,test,dice,0.9889642695612845
12,train,accuracy,0.9931972789115646
12,train,dice,0.9931007503823038
12,validation,accuracy,0.9841269841269841
12,validation,dice,0.9835835835835836
12,test,accuracy,1.0
12,test,dice,1.0
13,train,accuracy,1.0
13,train,dice,1.0
13,validation,accuracy,0.9841269841269841
13,validation,dice,0.9835835835835836
13,test,accuracy,1.0
13,test,dice,1.0
14,train,accuracy,1.0
14,train,dice,1.0
14,validation,accuracy,0.9841269841269841
14,validation,dice,0.9835835835835836
14,test,accuracy,1.0
14,test,dice,1.0
15,train,accuracy,1.0
15,train,dice,1.0
15,validation,accuracy,0.9841269841269841
15,validation,dice,0.9835835835835836
15,test,accuracy,1.0
15,test,dice,1.0
16,train,accuracy,1.0
16,train,dice,1.0
16,validation,accuracy,0.9841269841269841
16,validation,dice,0.9835835835835836
16,test,accuracy,1.0
16,test,dice,1.0
17,train,accuracy,1.0
17,train,dice,1.0
17,validation,accuracy,0.9841269841269841
17,validation,dice,0.9835835835835836
17,test,accuracy,1.0
17,test,dice,1.0
18,train,accuracy,1.0
18,train,dice,1.0
18,validation,accuracy,0.9841269841269841
18,validation,dice,0.9835835835835836
18,test,accuracy,1.0
18,test,dice,1.0
19,train,accuracy,1.0
19,train,dice,1.0
19,validation,accuracy,0.9841269841269841
19,validation,dice,0.9835835835835836
19,test,accuracy,1.0
19,test,dice,1.0
20,train,accuracy,1.0
20,train,dice,1.0
20,validation,accuracy,0.9841269841269841
20,validation,dice,0.9835835835835836
20,test,accuracy,1.0
20,test,dice,1.0
21,train,accuracy,1.0
21,train,dice,1.0
21,validation,accuracy,0.9841269841269841
21,validation,dice,0.9835835835835836
21,test,accuracy,0.9888888888888889
21,test,dice,0.9889642695612845
22,train,accuracy,1.0
22,train,dice,1.0
22,validation,accuracy,0.9841269841269841
22,validation,dice,0.9835835835835836
22,test,accuracy,1.0
22,test,dice,1.0
23,train,accuracy,1.0
23,train,dice,1.0
23,validation,accuracy,0.9841269841269841
23,validation,dice,0.9835835835835836
23,test,accuracy,1.0
23,test,dice,1.0
24,train,accuracy,1.0
24,train,dice,1.0
24,validation,accuracy,0.9841269841269841
24,validation,dice,0.9835835835835836
24,test,accuracy,1.0
24,test,dice,1.0
25,train,accuracy,1.0
25,train,dice,1.0
25,validation,accuracy,0.9841269841269841
25,validation,dice,0.9835835835835836
25,test,accuracy,1.0
25,test,dice,1.0
26,train,accuracy,1.0
26,train,dice,1.0
26,validation,accuracy,0.9841269841269841
26,validation,dice,0.9835835835835836
26,test,accuracy,1.0
26,test,dice,1.0
27,train,accuracy,1.0
27,train,dice,1.0
27,validation,accuracy,0.9841269841269841
27,validation,dice,0.9835835835835836
27,test,accuracy,1.0
27,test,dice,1.0
28,train,accuracy,1.0
28,train,dice,1.0
28,validation,accuracy,0.9841269841269841
28,validation,dice,0.9835835835835836
28,test,accuracy,1.0
28,test,dice,1.0
29,train,accuracy,1.0
29,train,dice,1.0
29,validation,accuracy,0.9841269841269841
29,validation,dice,0.9835835835835836
29,test,accuracy,1.0
29,test,dice,1.0
30,train,accuracy,1.0
30,train,dice,1.0
30,validation,accuracy,0.9841269841269841
30,validation,dice,0.9835835835835836
30,test,accuracy,1.0
30,test,dice,1.0
31,train,accuracy,1.0
31,train,dice,1.0
31,validation,accuracy,0.9841269841269841
31,validation,dice,0.9835835835835836
31,test,accuracy,1.0
31,test,dice,1.0
32,train,accuracy,1.0
32,train,dice,1.0
32,validation,accuracy,0.9841269841269841
32,validation,dice,0.9835835835835836
32,test,accuracy,1.0
32,test,dice,1.0
